title,company,country,salary_avg,is_remote,skills_mentioned,skill
BI- Data Analyst (m/w/d),Vorwerk Austria GmbH & Co KG,Austria,,0,r,R
Data Analyst Schwerpunkt Risikomanagement & Reporting (m/w/d),CALPANA business consulting GmbH,Austria,,0,r,R
"Data Analyst, R&D Controlling (m/w/d)",Med-el Elektromedizinische Geräte GmbH,Austria,,0,r,R
"Data Analyst, R&D Controlling (m/w/d)",MED-EL Medical Electronics,Austria,,0,r,R
Data & AI Analyst (Microsoft Fabric) (m/w/d),Doka Group,Austria,,0,power bi,POWER BI
Job in Deutschland (Holzgerlingen): Data Engineer (m/w/d),Integrated Worlds GmbH,Austria,,1,azure,AZURE
Microsoft Architect (m/w/d) Microsoft Lösungs-Designer:in,msg Plaut,Austria,,0,azure,AZURE
Softwareentickler:in mit DevOps-Expertise,Statistik Austria,Austria,,0,"r, python",R
Softwareentickler:in mit DevOps-Expertise,Statistik Austria,Austria,,0,"r, python",PYTHON
Data & Analytics - Data Engineer (all genders),Vienna Insurance Group AG Wiener Versicherung Gruppe,Austria,,1,"python, azure, databricks",PYTHON
Data & Analytics - Data Engineer (all genders),Vienna Insurance Group AG Wiener Versicherung Gruppe,Austria,,1,"python, azure, databricks",AZURE
Data & Analytics - Data Engineer (all genders),Vienna Insurance Group AG Wiener Versicherung Gruppe,Austria,,1,"python, azure, databricks",DATABRICKS
Business Analyst:in Logistik,voestalpine AG,Austria,,0,power bi,POWER BI
Commercial Business Analyst (m/w/d),Lohmann & Rauscher GmbH,Austria,,0,r,R
Senior IT-Business Analyst:in mit Schwerpunkt Power BI Reporting,ÖBB-Konzern,Austria,,0,power bi,POWER BI
Data Engineer Metering Operations,illwerke vkw AG,Austria,,0,sql,SQL
Lead Financial Analyst Service Business (m/f/d),INNIO Group,Austria,,0,r,R
